name,color,x,y
Blackblade Reforged,#777777,-0.00023646550235802044,0.0006352179983273041
Worship,#FFFFFF,-0.0003014585404562217,0.0001166720300763745
True Conviction,#FFFFFF,-0.00031049297418030575,4.901727316973161e-05
Shielded by Faith,#FFFFFF,-0.0003132838010897002,1.7848329095645977e-05
Rest in Peace,#FFFFFF,-0.00032106483328440494,-9.471420449664018e-05
Path to Exile,#FFFFFF,-0.00034183656137936,-0.0004672467118446604
Martyr's Bond,#FFFFFF,-0.0003261246158776095,-0.0001641111044124741
Gideon Jura,#FFFFFF,-0.00016632757170779834,0.0005775912067059706
Cabal Therapist,#000000,0.00038093885185416207,-4.055505144560077e-05
Serra the Benevolent,#FFFFFF,-0.00024784711413223593,0.0005157046353177239
Diabolic Edict,#000000,-0.00034627938580046727,-0.0005010076758793852
"Nissa, Who Shakes the World Emblem",#777777,-7.310627787830052e-05,-0.00020906353053815808
Servo,#777777,-8.924464778926551e-05,0.0005384395541890388
"Voja, Friend to Elves",#FFD700,0.00010249648986697124,0.00026697360440396985
Citizen,#FFD700,6.611101149410912e-05,0.00016947389281939527
Wolf,#008000,-3.6230068905565545e-06,0.00044874653488451193
Goblin,#FF0000,0.00011139806998250301,0.0003242369963521957
Dragon,#FF0000,6.462035759567955e-05,0.0003760591046865611
Devil,#FF0000,4.190686828721026e-05,0.0004019394102975058
Zombie Warrior,#000000,0.00014487294594633563,0.0002819683894682619
Zombie Army,#000000,0.0001017381524459799,0.00033119685778221794
Zombie,#000000,3.5884321228993286e-05,0.00040195095070486914
Assassin,#000000,0.00014003215779754253,0.000287341064347514
Wizard,#0000FF,7.184840915367717e-05,0.0003668237545574328
Wall,#FFFFFF,9.487528376320894e-05,0.0003352781563232539
Soldier,#FFFFFF,0.00010515637063018756,0.000323773278708566
Angel,#FFFFFF,0.00011020649586300639,0.000318383778043422
Spirit,#777777,3.827126334679522e-05,0.0004060450285825026
Sarkhan Unbroken,#FFD700,-0.00017514722677014122,0.0003154422412921887
"Nahiri, the Harbinger",#FFD700,-0.00020550240015588126,0.0004913092235640354
"Nicol Bolas, Dragon-God",#FFD700,-0.00015449042396419447,0.00022394750161133475
"Garruk, Apex Predator",#FFD700,-0.00019370836947781952,0.00037991743605069497
Tezzeret the Seeker,#0000FF,-0.0001689182761685287,0.0005987826021691601
"Jace, the Mind Sculptor",#0000FF,-0.00021843560067924008,0.0006351503843462586
Gideon Blackblade,#FFFFFF,-0.0001637802267580084,0.0005775681191827604
"Ugin, the Spirit Dragon",#777777,-0.00016672217523231147,0.000600220125155298
"Tezzeret, Master of the Bridge",#FFD700,-0.00022671669360321923,0.0003366439356814144
Simic Guildgate,#FFD700,-0.00030592526312062037,-0.0004174674684988733
Jace's Ruse,#0000FF,-0.00031779465885074283,0.00022090598739053018
Jace's Projection,#0000FF,0.000386926291253696,-3.3681614245328996e-05
Guildpact Informant,#0000FF,0.000412498775956556,-6.946437768930286e-05
"Jace, Arcane Strategist",#0000FF,-0.00017134347312312427,0.00059990851472291
Orzhov Guildgate,#FFD700,-0.00029571600241289737,-0.0004063949433718826
Gideon's Company,#FFFFFF,0.00038847800943993727,-3.778540440657686e-05
Gideon's Battle Cry,#FFFFFF,-0.00030801688123028117,0.0002182200702815894
Desperate Lunge,#FFFFFF,-0.00035000578182815454,-0.000587385191570687
"Gideon, the Oathsworn",#FFFFFF,-0.00017137017064940556,0.0005749042000791308
Forest,#008000,-0.0003441905164549535,-0.0006087700791132587
Mountain,#FF0000,-0.00034346096075421704,-0.0006127762486127571
Swamp,#000000,-0.0003429684169348929,-0.0006042482891808274
Island,#0000FF,-0.0003426585806469322,-0.0006111491255644489
Plains,#FFFFFF,-0.00034015759741843016,-0.0006017762255421364
Mobilized District,#777777,-0.00035580196710298666,-0.0006135592664819842
Karn's Bastion,#777777,-0.0003552586963108786,-0.0006032623560998425
Interplanar Beacon,#777777,-0.0003535976656236661,-0.0005999097225331793
Gateway Plaza,#777777,-0.00035338204820103145,-0.0005993120232751561
Emergence Zone,#777777,-0.0003548186483974567,-0.0006047607258945346
Blast Zone,#777777,-0.000333425205969692,-0.0005097519922454169
Saheeli's Silverwing,#777777,-0.0002474787797424529,0.0006041923789043905
Prismite,#777777,-0.0002921051019517162,0.00043608697366488816
Mana Geode,#777777,-0.0002129135500450691,0.000644159388038234
Iron Bully,#777777,-0.0001917078971852446,0.0006253181707365251
Guild Globe,#777777,-0.0002581905083085135,0.0005739277811489647
God-Pharaoh's Statue,#777777,-0.00023790618966642893,0.0006175618330671048
Firemind Vessel,#777777,-0.0002260586594012032,0.0006453655051011809
"Vraska, Swarm's Eminence",#FFD700,-0.00017581888153340013,0.0003896890215399625
"Samut, Tyrant Smasher",#FFD700,-0.00017025922868183746,0.0005511615438478471
"Saheeli, Sublime Artificer",#FFD700,-0.00016429215353942018,0.0005710689398761715
"Nahiri, Storm of Stone",#FFD700,-0.0001637516860606734,0.0005360817803234829
"Kiora, Behemoth Beckoner",#FFD700,-0.00016262698110990203,0.0005068674753702637
"Kaya, Bane of the Dead",#FFD700,-0.00020456705646954308,0.00024925875800855537
"Huatli, the Sun's Heart",#FFD700,-0.0002086059514123749,0.0003064200562229218
"Dovin, Hand of Control",#FFD700,-0.00015599259666919293,0.0004718107885286483
"Ashiok, Dream Render",#FFD700,-0.00017202846930333815,0.00048477494147329574
"Angrath, Captain of Chaos",#FFD700,-0.00016365064154975738,0.0005473478567840291
Widespread Brutality,#FFD700,-0.00026665551492253693,0.00023300854114763158
Tyrant's Scorn,#FFD700,-0.0002931494110573739,-0.0003580347655007619
"Tolsimir, Friend to Wolves",#FFD700,-0.0001694984879702297,1.7598163077869957e-06
Time Wipe,#FFD700,-0.00024100590442927139,0.00012846206919396575
Tenth District Legionnaire,#FFD700,0.00034729331039621506,-5.518617228610556e-05
"Teferi, Time Raveler",#FFD700,-0.0001915132925785545,0.0003913151602985507
"Tamiyo, Collector of Tales",#FFD700,-0.00021853307751496613,0.00040430144793622444
"Storrev, Devkarin Lich",#FFD700,-3.8071030892389695e-05,6.899806464144998e-05
Soul Diviner,#FFD700,0.000286323198119618,-4.50018888581166e-05
"Sorin, Vengeful Bloodlord",#FFD700,-0.00018404038774292127,0.0003434920542146623
Solar Blaze,#FFD700,-0.00024773100533878996,0.00027628841671840823
Rubblebelt Rioters,#FFD700,0.0003645941933205465,-5.046883811280166e-05
Role Reversal,#FFD700,-0.0002931926666985495,0.00020224763653276513
"Roalesk, Apex Hybrid",#FFD700,-0.0001998786578192607,-8.255522225233536e-05
Ral's Outburst,#FFD700,-0.00033426612295707177,-0.0004516066455067408
"Ral, Storm Conduit",#FFD700,-0.00017461194809031695,0.0005658730253836607
Pledge of Unity,#FFD700,-0.00025477643332770495,-0.00023259859003441416
Oath of Kaya,#FFD700,-0.0002299611783939678,0.00016439192555097254
Niv-Mizzet Reborn,#FFD700,-5.688123504261805e-05,-5.54409807444956e-05
Neoform,#FFD700,-0.0002767412333529025,-0.0001014597374729257
Merfolk Skydiver,#FFD700,0.0003230456680063468,-2.7807612206965725e-05
Mayhem Devil,#FFD700,0.0004034739366425507,-7.022504710387034e-05
Living Twister,#FFD700,0.00035094468280135225,-2.542065495599962e-05
Leyline Prowler,#FFD700,0.0003023915480868187,-3.291424097343411e-05
Invade the City,#FFD700,-0.0002676679652947998,0.0003433339997223669
Huatli's Raptor,#FFD700,0.00027045702769323723,-4.16751166201273e-05
Heartwarming Redemption,#FFD700,-0.00028439677121166557,-0.00024136133661496124
Gleaming Overseer,#FFD700,0.00029492780624632334,-4.0233311799522114e-05
"Feather, the Redeemed",#FFD700,-0.00029540673436196247,-0.0003570709827841099
Enter the God-Eternals,#FFD700,-0.0002552979894417911,7.937099653236007e-05
Elite Guardmage,#FFD700,0.000281875357669341,-4.454119090949264e-05
Dreadhorde Butcher,#FFD700,0.00032914676611028415,-6.529526978806295e-05
Dovin's Veto,#FFD700,-0.0003013711474795114,-0.0004003002916284647
Domri's Ambush,#FFD700,-0.0002678825592318124,0.0003284155734957645
"Domri, Anarch of Bolas",#FFD700,-0.0001683100164745957,0.0005576975193637872
Despark,#FFD700,-0.00024537374535920313,-0.00023062268749631933
Deathsprout,#FFD700,-0.00028652523582231744,-0.0003463724356260926
Cruel Celebrant,#FFD700,0.00022018252310613198,-3.2592773401136864e-05
Casualties of War,#FFD700,-0.00023416765349353896,0.00014267553488955207
Bioessence Hydra,#FFD700,0.0002988332495981913,-1.6928286788897424e-05
Angrath's Rampage,#FFD700,-0.00026668279473079356,0.00024997012828454897
"Ajani, the Greathearted",#FFD700,-0.00016806728461240012,0.00042083542224963146
Wardscale Crocodile,#008000,0.00040231284736464714,-5.1667745106085405e-05
Vivien's Grizzly,#008000,0.00041257915488223274,-6.910780834782008e-05
Vivien's Arkbow,#008000,-0.00025427273298954406,0.0005539827885160344
"Vivien, Champion of the Wilds",#008000,-0.00017788678693547038,0.0006044276979888647
Thundering Ceratok,#008000,0.0003896206174632174,-5.321274030123155e-05
Storm the Citadel,#008000,-0.0003087042524187432,0.000284406033483239
Steady Aim,#008000,-0.0003493982970128748,-0.0005133985345253746
Snarespinner,#008000,0.0003897569783817338,-5.799583564503439e-05
Return to Nature,#008000,-0.0003487678257329689,-0.0004770638795930302
Primordial Wurm,#008000,0.0003869919028408596,-4.706443908566888e-05
Pollenbright Druid,#008000,0.00038033015011594416,-2.4665726313262726e-05
Planewide Celebration,#008000,-0.0003032623398063854,0.0003231851835110995
Paradise Druid,#008000,0.0003418181356366622,4.4398408450114725e-05
Nissa's Triumph,#008000,-0.00030878944777189857,0.0002906748800464336
"Nissa, Who Shakes the World",#008000,-0.00016962888567427723,0.000595167925948513
New Horizons,#008000,-0.0002832984560031431,0.0004205541038252091
"Mowu, Loyal Companion",#008000,-0.00032224748629438915,-0.00032409977209735843
Kronch Wrangler,#008000,0.00041487053046301083,-7.373873317784888e-05
Kraul Stinger,#008000,0.00040687966580791295,-6.849954663479146e-05
"Jiang Yanggu, Wildcrafter",#008000,-0.0001772444804748287,0.0006037609685084465
God-Eternal Rhonas,#008000,-0.0003182948750194014,-0.00021587914625279477
Giant Growth,#008000,-0.0003519151596850071,-0.0005370561332852336
Forced Landing,#008000,-0.0003501889137739325,-0.0005424481281183055
Finale of Devastation,#008000,-0.00025606222280803004,0.0005427882288117087
Evolution Sage,#008000,0.00038706474913442854,-2.6592288128260226e-05
Courage in Crisis,#008000,-0.0002649841043116425,0.0005062174651710869
Challenger Troll,#008000,0.0004153463718345754,-7.311485025059441e-05
Centaur Nurturer,#008000,0.00038701378398608494,-2.4608842886895086e-05
Bond of Flourishing,#008000,-0.00031432490304969274,0.00024282148592421062
Bloom Hulk,#008000,0.0003962016745113632,-3.364215040639775e-05
Band Together,#008000,-0.0003423836597401403,-0.00037995562642056355
Awakening of Vitu-Ghazi,#008000,-0.00034860779813658885,-0.00047333115104286676
Arlinn's Wolf,#008000,0.0003913253834650421,-2.658512131050359e-05
"Arlinn, Voice of the Pack",#008000,-0.00022273924831612735,0.0006182876577002788
Arboreal Grazer,#008000,0.00040442661196922995,-7.086635329410255e-05
Turret Ogre,#FF0000,0.000386105086147887,-7.529767761948058e-05
Tibalt's Rager,#FF0000,0.000390082224351391,-4.1649842344914314e-05
"Tibalt, Rakish Instigator",#FF0000,-0.00018538267404016236,0.0006187065795202348
Spellgorger Weird,#FF0000,0.00035537340491760414,2.845688852882045e-05
Sarkhan's Catharsis,#FF0000,-0.00035737680628663936,-0.0005710987470039827
Sarkhan the Masterless,#FF0000,-0.00017754834766301456,0.0006109221440379544
Samut's Sprint,#FF0000,-0.00034931362599445443,-0.0004622749387336479
Raging Kronch,#FF0000,0.0003996511481767438,-3.3882918069437006e-05
"Neheb, Dreadhorde Champion",#FF0000,-0.00032920024202310303,-0.0003640714434987679
Nahiri's Stoneblades,#FF0000,-0.00035463459732769045,-0.0005266738689507173
Mizzium Tank,#FF0000,-0.00027867136451060895,0.0004966170308206027
"Krenko, Tin Street Kingpin",#FF0000,-0.00025048412951758913,7.925733834541175e-05
Jaya's Greeting,#FF0000,-0.00029522960458127436,4.1569891835893846e-05
"Jaya, Venerated Firemage",#FF0000,-0.00018235308669957716,0.0006161426161153579
Invading Manticore,#FF0000,0.0003775740176026754,-7.540662094014404e-06
"Ilharg, the Raze-Boar",#FF0000,-0.00027698141026564517,-8.137551303028422e-05
