name,color,x,y
Blackblade Reforged,#777777,1.6758048328534203e-05,-0.00019201194693160096
Worship,#FFFFFF,6.0044939152168735e-05,-6.420844309525717e-05
True Conviction,#FFFFFF,8.498676442576387e-05,-6.81319477652915e-05
Shielded by Faith,#FFFFFF,8.397305864536031e-05,-6.87234187300775e-05
Rest in Peace,#FFFFFF,9.15789617175795e-05,-6.374716692227647e-05
Path to Exile,#FFFFFF,0.00010826428794419245,-1.6243242023064045e-05
Martyr's Bond,#FFFFFF,0.00010771656042901485,-5.849699927029065e-05
Gideon Jura,#FFFFFF,-9.519625757736662e-05,-0.00022464949076239255
Cabal Therapist,#000000,-5.426851391189306e-05,5.4592099134029465e-05
Serra the Benevolent,#FFFFFF,2.723459364371041e-06,-0.0001532895172367054
Diabolic Edict,#000000,0.00010926135583773009,-7.558592654330816e-06
"Nissa, Who Shakes the World Emblem",#777777,2.7739669005527584e-05,2.2899354643362907e-05
Servo,#777777,-0.000312464486894298,-0.000365957952726871
"Voja, Friend to Elves",#FFD700,-0.00023814284697298442,-0.0001465092502521231
Citizen,#FFD700,-0.0003283843225120634,-0.00019231583815045795
Wolf,#008000,-0.00027515325842139056,-0.00019436331935998932
Goblin,#FF0000,-0.0003100437979527905,-0.00014623699689423814
Dragon,#FF0000,-0.00035643924594806026,-0.00018904870976257297
Devil,#FF0000,-0.0003115288400477175,-0.00018087711974017524
Zombie Warrior,#000000,-0.0003554578850609278,-0.00014877943304642576
Zombie Army,#000000,-0.00032518376340981105,-0.00016171566707646315
Zombie,#000000,-0.0003799217208730432,-0.00022661459262759132
Assassin,#000000,-0.00035398654691093433,-0.00015142567313649818
Wizard,#0000FF,-0.0003716089372283164,-0.0001933835577396042
Wall,#FFFFFF,-0.00034102431836069067,-0.00017239451478422193
Soldier,#FFFFFF,-0.00033857190441615966,-0.00016648822192392459
Angel,#FFFFFF,-0.0003192662907499899,-0.00015695240017936634
Spirit,#777777,-0.0003562894609253857,-0.00020452794866951198
Sarkhan Unbroken,#FFD700,-8.160700102391149e-05,-0.00021434073743817152
"Nahiri, the Harbinger",#FFD700,-3.868943697407631e-05,-0.00020145318396057958
"Nicol Bolas, Dragon-God",#FFD700,-7.195872461632863e-05,-0.00017925120967194938
"Garruk, Apex Predator",#FFD700,-6.850143005430266e-05,-0.00019974560425079527
Tezzeret the Seeker,#0000FF,-0.00010528343679427584,-0.00020303250007259219
"Jace, the Mind Sculptor",#0000FF,-2.859383504904096e-05,-0.00017491539094936315
Gideon Blackblade,#FFFFFF,-0.00011694985014034132,-0.00019893816537074326
"Ugin, the Spirit Dragon",#777777,-0.0001167010548059445,-0.0002115865167448843
"Tezzeret, Master of the Bridge",#FFD700,-2.6601272051704445e-05,-0.00018246032078377531
Simic Guildgate,#FFD700,0.0001231687004184052,2.5816290931451745e-05
Jace's Ruse,#0000FF,8.88125249094184e-05,-0.00010154362194335488
Jace's Projection,#0000FF,-5.7210871443143046e-05,4.682768929108819e-05
Guildpact Informant,#0000FF,-7.097098532473052e-05,0.00013247997797732582
"Jace, Arcane Strategist",#0000FF,-9.472093404394728e-05,-0.00019698718300975205
Orzhov Guildgate,#FFD700,0.0001739467469514517,3.872429783050339e-05
Gideon's Company,#FFFFFF,-0.0001242588797448527,0.00010832685644564236
Gideon's Battle Cry,#FFFFFF,8.142886497113072e-05,-0.0001053328590204176
Desperate Lunge,#FFFFFF,0.00019467517689393348,2.4185528204823223e-05
"Gideon, the Oathsworn",#FFFFFF,-7.016042056636024e-05,-0.00019400807252792273
Forest,#008000,0.0003969502929092028,0.00026395632870909226
Mountain,#FF0000,0.00036006330261428464,0.00026460561534558233
Swamp,#000000,0.0004370347249168276,0.0002970287012886568
Island,#0000FF,0.00032851283034591403,0.00028764855535559576
Plains,#FFFFFF,0.0004059466402236363,0.00030945805888050966
Mobilized District,#777777,0.00018206757136552684,4.514976294817108e-05
Karn's Bastion,#777777,0.0001483475326725531,2.6289795996148313e-05
Interplanar Beacon,#777777,0.00013999151407110535,3.08084416406479e-05
Gateway Plaza,#777777,0.0001378364067899914,3.285417167329728e-05
Emergence Zone,#777777,0.00015266545444097163,3.2680667368891126e-05
Blast Zone,#777777,8.450329786112048e-05,1.6342150353676426e-05
Saheeli's Silverwing,#777777,1.1792506534004672e-05,-0.00013907870139618974
Prismite,#777777,4.749433971859589e-05,-0.00010862444904076332
Mana Geode,#777777,-3.143395594958107e-05,-0.00018652084826384618
Iron Bully,#777777,-4.9947277240867675e-05,-0.00015139011152300944
Guild Globe,#777777,1.9519858500979464e-05,-0.00012695793838241298
God-Pharaoh's Statue,#777777,2.2317308382807222e-05,-0.00023480751200087734
Firemind Vessel,#777777,-2.045221897667082e-05,-0.00016221595603545453
"Vraska, Swarm's Eminence",#FFD700,-7.249695680666858e-05,-0.00019560580735709875
"Samut, Tyrant Smasher",#FFD700,-6.474850261929805e-05,-0.0001913936864883055
"Saheeli, Sublime Artificer",#FFD700,-0.00010729493806821709,-0.000211797138968712
