name,color,x,y
Blackblade Reforged,#777777,-0.0003359404913352645,0.0005334204467002363
Worship,#FFFFFF,9.634995740006997e-05,-0.0002975316583337399
True Conviction,#FFFFFF,4.893494791924351e-05,-0.00041440399132579975
Shielded by Faith,#FFFFFF,9.10559483650704e-05,-0.00019659743626731694
Rest in Peace,#FFFFFF,9.147202036014029e-05,-0.00013005689420316527
Path to Exile,#FFFFFF,8.134380295935598e-05,-9.151096238999667e-05
Martyr's Bond,#FFFFFF,5.019796136948207e-05,-0.00041312770412401317
Gideon Jura,#FFFFFF,7.916223163140409e-05,-0.00036861548936322305
Cabal Therapist,#000000,6.123080812897425e-06,-9.395327937488115e-05
Serra the Benevolent,#FFFFFF,9.36547949562259e-05,-0.00029097250822522516
Diabolic Edict,#000000,-5.967631012963543e-06,-7.189654545230015e-05
"Nissa, Who Shakes the World Emblem",#777777,-0.0003773000502038405,0.0008203641669176956
Servo,#777777,-0.00036773601200549584,0.0007820340960604648
"Voja, Friend to Elves",#FFD700,0.000864790411405119,0.0003447101499166386
Citizen,#FFD700,0.0008957740659477842,0.00036951668026079633
Wolf,#008000,-0.00010415282948071068,9.679686797561766e-05
Goblin,#FF0000,-0.000354787424684921,0.0007551359160818155
Dragon,#FF0000,-0.00035485579246485947,0.0007549524410319457
Devil,#FF0000,-0.00035487762189667,0.0007548866037738701
Zombie Warrior,#000000,-5.023118479975198e-06,-4.003558629786824e-05
Zombie Army,#000000,-4.891752886178505e-06,-4.010704548702452e-05
Zombie,#000000,-4.8895582934665084e-06,-4.008643464543214e-05
Assassin,#000000,-5.041365005958473e-06,-4.0041027991231964e-05
Wizard,#0000FF,-0.0002221828842029977,0.0003445289679414471
Wall,#FFFFFF,6.034241759913994e-05,-9.053345469161347e-05
Soldier,#FFFFFF,6.034241759914015e-05,-9.053345469161292e-05
Angel,#FFFFFF,6.034241759913973e-05,-9.05334546916138e-05
Spirit,#777777,-0.00036760499657687116,0.0007813865881886568
Sarkhan Unbroken,#FFD700,0.0008887079499062164,0.00036172786558773
"Nahiri, the Harbinger",#FFD700,0.0006622975114735567,0.00016438792167662917
"Nicol Bolas, Dragon-God",#FFD700,0.0008936542595023993,0.0003664658823906819
"Garruk, Apex Predator",#FFD700,0.0008404979219689801,0.00031573669803415495
Tezzeret the Seeker,#0000FF,-0.00017958157293160992,-0.0002630588545896883
"Jace, the Mind Sculptor",#0000FF,-0.00020153485602180703,-5.535315793124812e-05
Gideon Blackblade,#FFFFFF,8.678977024008939e-05,-0.00019783120904932726
"Ugin, the Spirit Dragon",#777777,-0.00017175831468875654,-0.0003735434967643867
"Tezzeret, Master of the Bridge",#FFD700,0.0008043543500183321,0.00028262312838585053
