name,color,x,y
Blackblade Reforged,#777777,-7.260328831565635e-06,2.9036406639167313e-05
Worship,#FFFFFF,-3.1205341445218564e-06,1.9127121285579477e-06
True Conviction,#FFFFFF,-3.0283111463849954e-06,1.3845860598345303e-06
Shielded by Faith,#FFFFFF,-3.161640480202622e-06,2.156074590007117e-06
Rest in Peace,#FFFFFF,-3.1981834817654156e-06,2.3772424035474997e-06
Path to Exile,#FFFFFF,-3.2243696742039544e-06,2.5400688993953183e-06
Martyr's Bond,#FFFFFF,-3.029603850281677e-06,1.3923020077220579e-06
Gideon Jura,#FFFFFF,-3.0760938563421355e-06,1.6556324331540002e-06
Cabal Therapist,#000000,-4.887953836709411e-06,1.2958358771416168e-05
Serra the Benevolent,#FFFFFF,-3.120835616208632e-06,1.91489839383885e-06
Diabolic Edict,#000000,-4.880763717887357e-06,1.291400791340633e-05
"Nissa, Who Shakes the World Emblem",#777777,-7.344263545260099e-06,2.9715901423979063e-05
Servo,#777777,-7.318598543789186e-06,2.9513077965106512e-05
"Voja, Friend to Elves",#FFD700,0.00026711451814089514,-0.0012428273315944177
Citizen,#FFD700,0.026904987191713876,0.014569629656887524
Wolf,#008000,-5.9166920988016485e-06,1.9708643471145316e-05
Goblin,#FF0000,-6.994758267863237e-06,2.7156155234997988e-05
Dragon,#FF0000,-6.9945181321963285e-06,2.7154254603362245e-05
Devil,#FF0000,-6.994463585179664e-06,2.7153843711349614e-05
Zombie Warrior,#000000,-4.915863880779966e-06,1.3164360818635523e-05
Zombie Army,#000000,-4.915831791756816e-06,1.3164102537264276e-05
Zombie,#000000,-4.915906919667632e-06,1.3164739035007343e-05
Assassin,#000000,-4.915779538509239e-06,1.3163642585870017e-05
Wizard,#0000FF,-6.555021432755181e-06,2.4052016237339404e-05
Wall,#FFFFFF,-3.2292436939090137e-06,2.5544777332031184e-06
Soldier,#FFFFFF,-3.229189441004339e-06,2.554437045239167e-06
Angel,#FFFFFF,-3.229212261471778e-06,2.5547258259926322e-06
Spirit,#777777,-7.317901175585748e-06,2.950767060137779e-05
Sarkhan Unbroken,#FFD700,0.0005374972253137474,-0.0017567995920730974
"Nahiri, the Harbinger",#FFD700,3.321041674748431e-05,-0.00020155491280133569
"Nicol Bolas, Dragon-God",#FFD700,0.0007651643634647465,-0.0020388898358843902
"Garruk, Apex Predator",#FFD700,0.00023114015301276648,-0.0010705089549371593
Tezzeret the Seeker,#0000FF,-6.411573588880019e-06,2.2930362436266565e-05
"Jace, the Mind Sculptor",#0000FF,-6.4402725215227554e-06,2.3151072206966422e-05
Gideon Blackblade,#FFFFFF,-3.1630900426256197e-06,2.165256859817396e-06
"Ugin, the Spirit Dragon",#777777,-7.0902052053192565e-06,2.7651226691526106e-05
"Tezzeret, Master of the Bridge",#FFD700,0.00010622856068465766,-0.0005644442175822385
Simic Guildgate,#FFD700,6.033481693156455e-05,-0.00034963736915596944
Jace's Ruse,#0000FF,-6.411704423047998e-06,2.2930413323036884e-05
Jace's Projection,#0000FF,-6.418705428754319e-06,2.2986846573603245e-05
Guildpact Informant,#0000FF,-6.448691621895984e-06,2.3218895711574912e-05
"Jace, Arcane Strategist",#0000FF,-6.386325457551382e-06,2.27367665717324e-05
Orzhov Guildgate,#FFD700,0.0003422339419538093,-0.0014478386812247542
Gideon's Company,#FFFFFF,-3.098992353073694e-06,1.75923239927152e-06
Gideon's Battle Cry,#FFFFFF,-3.1228264915269405e-06,1.9265058796407406e-06
Desperate Lunge,#FFFFFF,-3.2002259333842296e-06,2.3887969804953436e-06
"Gideon, the Oathsworn",#FFFFFF,-3.0287174524642263e-06,1.3873250028548078e-06
Forest,#008000,-5.940778404033162e-06,1.9895321445413586e-05
